DepartureCode,ArrivalCode,LowestPriceUSD,AveragePriceUSD,CheapestMonth
TPA,ANC,349.75,604,October,
ORD,ANC,279.25,509,December,
SNA,ANC,195.555,337,November,
LAS,ANC,192.75,294,October,
HNL,ANC,339.3,665,November,
MSP,ANC,323.75,582,November,
BNA,ANC,627.767,628,January,
HOU,ANC,358.25,681,November,
SLC,ANC,263.141,477,October,
BWI,ANC,342.457,522,January,
AUS,ANC,229.75,343,November,
CHA,ANC,432.796,644,December,
BHM,ANC,338.515,599,December,
LGB,ANC,192.864,339,November,
BOS,ANC,321.3,415,November,
MCO,ANC,544.995,545,March,
LAX,ANC,194.658,347,November,
YQG,ANC,595.37,1080,October,
DEL,ANC,1360.54,1361,February,
DFW,ANC,269.75,430,November,
CVG,ANC,447.256,694,November,
OKC,ANC,317.279,479,October,
DCA,ANC,333.547,571,October,
COS,ANC,305.873,551,October,
PHX,ANC,221.25,221,October,
BPT,ANC,340.005,596,November,
GRR,ANC,634.9,635,June,
RDM,ANC,704.55,705,December,
CLL,ANC,344.55,634,November,
CAE,ANC,357.25,537,October,
PSP,ANC,212.353,339,October,
KOA,ANC,706.555,912,December,
YKF,ANC,398.978,582,October,
SDF,ANC,688.435,688,January,
BUF,ANC,378.938,570,October,
TOL,ANC,465.697,743,October,
RST,ANC,419.097,695,November,
IAD,ANC,333.547,650,October,
ONT,ANC,197.25,343,November,
SRQ,ANC,364.907,795,October,
YYZ,ANR,2444.34,2477,October,
YHM,ANR,5639.27,5648,October,
PHX,ANR,1472.39,1885,May,
LAS,ANR,1263.7,1313,February,
MHT,ANR,1841.3,2829,December,
BOS,ANR,2442.3,2442,December,
SMF,ANR,2305.6,2318,November,
ORH,ANR,5810.23,5810,December,
BUR,ANR,2464.4,2464,December,
LGB,ANR,2464.4,2464,December,
JFK,ANR,1335.8,1336,December,
LAX,ANR,2449.8,2450,December,
SNA,ANR,2414.6,2415,December,
SRQ,ANR,1244.8,1245,October,
TPA,ANR,1212.8,1213,October,
DTW,ANR,2467,2467,December,
YKF,ANR,5656.8,5657,October,
OAK,ANR,2354.8,2355,November,
SFO,ANR,2422.8,2423,November,
SJC,ANR,2330.6,2331,November,
CVG,AQJ,1316.4,1316,February,
LAX,AQJ,1319.65,1320,November,
DFW,AQJ,1729.13,1751,November,
LAX,ASE,359.6,454,October,
ATL,ASE,383,532,December,
BUR,ASE,396.6,466,October,
EWR,ASE,624.65,625,December,
DEN,ASE,491.65,527,November,
LGA,ASE,624.65,625,December,
IAH,ASE,443.55,485,November,
HPN,ASE,620.15,620,December,
DFW,ASE,513.65,514,December,
TPA,ASE,666.606,845,February,
SNA,ASE,456.318,528,October,
MCO,ASE,653.65,654,February,
BWI,ASE,635.207,635,December,
IAD,ASE,635.207,635,December,
DCA,ASE,635.207,635,December,
SRQ,ASE,668.417,668,February,
